"country","continent","population","month_start","monthly_cases","monthly_deaths","death_per_cases","monthly_tests","avg_stringency","monthly_vaxes","people_vaxxed_cum","people_vaxxed_per_population"
"Afghanistan","Asia",40578801,"2020-01-01","0","0",NULL,NULL,"0.00000000000000000000",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-02-01","1","0","0",NULL,"0.02010689655172413800",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-03-01","113","4","0.0353982300884956",NULL,"0.40831935483870967700",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-04-01","1713","56","0.0326911850554583",NULL,"0.80740000000000000000",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-05-01","12616","188","0.0149017121116043",NULL,"0.84260000000000000000",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-06-01","16795","485","0.0288776421554034",NULL,"0.84074666666666666700",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-07-01","5304","538","0.101432880844646",NULL,"0.78700000000000000000",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-08-01","1601","131","0.0818238600874453",NULL,"0.56840967741935483900",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-09-01","1111","56","0.0504050405040504",NULL,"0.28700000000000000000",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-10-01","2080","75","0.0360576923076923",NULL,"0.17057096774193548400",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-11-01","4881","230","0.0471214914976439",NULL,"0.11298666666666666700",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2020-12-01","6115","426","0.069664758789861",NULL,"0.12040000000000000000",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2021-01-01","2693","211","0.0783512810991459",NULL,"0.12040000000000000000",NULL,NULL,NULL
"Afghanistan","Asia",40578801,"2021-02-01","691","43","0.0622286541244573",NULL,"0.12040000000000000000",NULL,"8200","0.00020207595586671"
"Afghanistan","Asia",40578801,"2021-03-01","740","41","0.0554054054054054",NULL,"0.24106129032258064500",NULL,"54000","0.00133074409961004"
"Afghanistan","Asia",40578801,"2021-04-01","3291","141","0.0428441203281677",NULL,"0.26850000000000000000",NULL,"240000","0.00591441822048907"
"Afghanistan","Asia",40578801,"2021-05-01","12093","319","0.026378896882494",NULL,"0.33302258064516129000","2859","480226","0.0118344058514691"
"Afghanistan","Asia",40578801,"2021-06-01","46821","1927","0.0411567459046155",NULL,"0.44417000000000000000","4015","699200","0.0172306717490248"
