"country","month_start","people_vaxxed"
"Afghanistan","2020-01-01",NULL
"Afghanistan","2020-02-01",NULL
"Afghanistan","2020-03-01",NULL
"Afghanistan","2020-04-01",NULL
"Afghanistan","2020-05-01",NULL
"Afghanistan","2020-06-01",NULL
"Afghanistan","2020-07-01",NULL
"Afghanistan","2020-08-01",NULL
"Afghanistan","2020-09-01",NULL
"Afghanistan","2020-10-01",NULL
"Afghanistan","2020-11-01",NULL
"Afghanistan","2020-12-01",NULL
"Afghanistan","2021-01-01",NULL
"Afghanistan","2021-02-01","8200"
"Afghanistan","2021-03-01","54000"
"Afghanistan","2021-04-01","240000"
"Afghanistan","2021-05-01","480226"
"Afghanistan","2021-06-01","699200"
"Afghanistan","2021-07-01","742934"
"Afghanistan","2021-08-01","773002"
"Afghanistan","2021-09-01","828601"
"Afghanistan","2021-10-01","828601"
"Afghanistan","2021-11-01","3530173"
"Afghanistan","2021-12-01","4142857"
"Afghanistan","2022-01-01","4554648"
"Afghanistan","2022-02-01","4907058"
"Afghanistan","2022-03-01","5082824"
"Afghanistan","2022-04-01","5287027"
"Afghanistan","2022-05-01","5407462"
"Afghanistan","2022-06-01","5713284"
"Afghanistan","2022-07-01","7294709"
"Afghanistan","2022-08-01","10730669"
"Afghanistan","2022-09-01","10929549"
"Afghanistan","2022-10-01","11084618"
"Afghanistan","2022-11-01","11292816"
"Afghanistan","2022-12-01","11459692"
"Afghanistan","2023-01-01","11684678"
"Afghanistan","2023-02-01","13441995"
"Afghanistan","2023-03-01","14457250"
"Afghanistan","2023-04-01","14778598"
"Afghanistan","2023-05-01","15875256"
"Afghanistan","2023-06-01","17283424"
"Afghanistan","2023-07-01","17534742"
"Afghanistan","2023-08-01","17820308"
"Afghanistan","2023-09-01","18257600"
"Afghanistan","2023-10-01","18526070"
"Afghanistan","2023-11-01","18897000"
"Afghanistan","2023-12-01","19151368"
"Afghanistan","2024-01-01","19151368"
"Afghanistan","2024-02-01","19151368"
"Afghanistan","2024-03-01","19151368"
"Afghanistan","2024-04-01","19151368"
"Afghanistan","2024-05-01","19151368"
"Afghanistan","2024-06-01","19151368"
"Afghanistan","2024-07-01","19151368"
"Afghanistan","2024-08-01","19151368"
"Afghanistan","2024-09-01","19151368"
"Afghanistan","2024-10-01","19151368"
"Afghanistan","2024-11-01","19151368"
"Afghanistan","2024-12-01","19151368"
"Afghanistan","2025-01-01","19151368"
"Afghanistan","2025-02-01","19151368"
"Afghanistan","2025-03-01","19151368"
"Afghanistan","2025-04-01","19151368"
"Afghanistan","2025-05-01","19151368"
"Afghanistan","2025-06-01","19151368"
"Albania","2020-01-01",NULL
"Albania","2020-02-01",NULL
"Albania","2020-03-01",NULL
"Albania","2020-04-01",NULL
"Albania","2020-05-01",NULL
"Albania","2020-06-01",NULL
"Albania","2020-07-01",NULL
"Albania","2020-08-01",NULL
"Albania","2020-09-01",NULL
"Albania","2020-10-01",NULL
"Albania","2020-11-01",NULL
"Albania","2020-12-01",NULL
"Albania","2021-01-01","549"
"Albania","2021-02-01","6073"
"Albania","2021-03-01","6073"
"Albania","2021-04-01","6073"
"Albania","2021-05-01","486128"
"Albania","2021-06-01","564530"
"Albania","2021-07-01","670215"
"Albania","2021-08-01","830396"
"Albania","2021-09-01","946495"
"Albania","2021-10-01","1013959"
"Albania","2021-11-01","1072645"
"Albania","2021-12-01","1141486"
"Albania","2022-01-01","1210040"
"Albania","2022-02-01","1269746"
"Albania","2022-03-01","1281331"
"Albania","2022-04-01","1288846"
"Albania","2022-05-01","1320244"
"Albania","2022-06-01","1326545"
"Albania","2022-07-01","1331453"
"Albania","2022-08-01","1334091"
"Albania","2022-09-01","1337562"
"Albania","2022-10-01","1339532"
"Albania","2022-11-01","1341413"
"Albania","2022-12-01","1342243"
"Albania","2023-01-01","1344582"
"Albania","2023-02-01","1345763"
"Albania","2023-03-01","1347054"
"Albania","2023-04-01","1347760"
"Albania","2023-05-01","1348396"
"Albania","2023-06-01","1348396"
"Albania","2023-07-01","1349150"
"Albania","2023-08-01","1349150"
